"","Gene1","Gene2"
"347","CCL2","ACKR1"
"348","THPO","MPL"
"349","EPHB6","EFNB1"
"350","WNT1","FZD1"
"351","TNFRSF13B","TNFSF13"
"352","NRP1","VEGFA"
"353","EPHA8","EFNA3"
"354","CSF1R","IL34"
"355","CCR5","CCL8"
"356","NRP2","VEGFA"
"357","NRG2","ERBB4"
"358","PECAM1","CD38"
"359","DLK1","NOTCH2"
"360","LGALS9","HAVCR2"
"361","EGFR","TGFA"
"362","TNFRSF17","TNFSF13B"
"363","KLRB1","CLEC2D"
"364","WNT5A","FZD5"
"365","IGF1","IGF1R"
"366","ICOSLG","ICOS"
"367","FLT1","PGF"
"368","EFNA2","EPHA4"
"369","TNF","TNFRSF1B"
"370","CCR3","CCL8"
"371","CD47","SIRPG"
"372","ICAM1","ITGAL"
"373","LEFTY1","TDGF1"
"374","CCL5","CCR4"
"375","CD1D","LILRB2"
"376","SELL","CD34"
"377","VEGFD","KDR"
"378","EFNA1","EPHA4"
"379","CCL21","ACKR4"
"380","TNFSF11","TNFRSF11A"
"381","CCR3","CCL13"
"382","NGF","NGFR"
"383","CCR4","CCL17"
"384","BTC","ERBB4"
"385","NRP2","SEMA3F"
"386","PVR","NECTIN3"
"387","EPHB4","EFNB1"
"388","WNT2","FZD3"
"389","CCL11","CCR3"
"390","SEMA3E","PLXND1"
"391","EGFR","EGF"
"392","DPP4","CXCL9"
"393","CXCL2","CXCR2"
"394","PDCD1","PDCD1LG2"
"395","CCL5","CCR3"
"396","EFNA4","EPHA7"
"397","CCR1","CCL8"
"398","NCR3","NCR3LG1"
"399","FLT4","VEGFC"
"400","JAM3","JAM3"
"401","FZD6","WNT4"
"402","CCR3","CCL14"
"403","DPP4","CCL11"
"404","DLL1","NOTCH4"
"405","EFNA5","EPHA4"
"406","EREG","ERBB4"
"407","CXCL10","DPP4"
"408","PDGFB","PDGFRA"
"409","EFNA1","EPHA1"
"410","TNFSF18","TNFRSF18"
"411","EPHB3","EFNB1"
"412","ADORA3","ENTPD1"
