,B.Cells.Memory,B.Cells.Naive,Plasma.Cells,T.Cells.CD8,T.Cells.CD4.Naive,T.Cells.CD4.Memory.Activated,T.Cells.CD4.Memory.Resting,T.Cells.Follicular.Helper,T.Cells.Regulatory.Tregs,T.Cells.gamma.delta,NK.Cells.Activated,NK.Cells.Resting,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.Cells.Resting,Dendritic.Cells.Activated,Mast.Cells.Activated,Mast.Cells.Resting,Eosinophils,Neutrophils
TCGA-OR-A5LD,0.00689035458566775,0,4.4947171225874e-05,0.0365548862095907,0.0780802008106556,0,0.191588998424883,0.0418753533042362,0,0,0.044762126473936,0.0829486980916572,0.276702035867465,0.0792822647630439,0,0.0387727233746817,0,0,0,0.122497410922956,0,0
TCGA-OR-A5LJ,0.085850721812475,0,0.00314228903504634,0.272929037469953,0,0,0.0283408044549246,0.0696700486049748,0,0,0.0199389389105301,0,0.0357523845485654,0.03339217388061,0.010728072000922,0.120078078501314,0,0.18514745100135,0,0.118668584666385,0.0163614151129501,0
TCGA-OR-A5JJ,0,0.1781646052688,0.162927822801919,0.183149451627068,0,0,0.0354291214226876,0.0893077925772301,0.00664563500694198,0,0.088274465993332,0,0.0173975824472522,0,0.018393551119106,0.178417124471983,0,0.0205073055645316,0,0.0213855416991482,0,0
TCGA-OR-A5JQ,0.0373758543112132,0,0.0129155756193891,0.224342618746366,0,0,0.19593749318035,0.0345829751572738,0.0658737054723565,0,0.0675852577394355,0,0.0266289725997069,0,0.0681850284765533,0.182204702401108,0.00505598398095371,0,0,0.0793118323152942,0,0
TCGA-OR-A5K0,0,0.0810583191562189,0,0.0745482836571794,0,0,0.0684225595366824,0.0596501177627689,0,0,0.0318254441956291,0.0294202205323559,0.0313694144971214,0,0,0.292130538028015,0,0.282957042759007,0.0454894972092331,0,0,0.0031285626657888
TCGA-OR-A5KO,0.0685496366543466,0,0,0.0561928495455805,0.255383125372397,0,0.15170000636542,0,0,0,0.0424752837515582,0.0384727821946611,0.0696292014799908,0.109299842440443,0,0.116428429946417,0,0.0844287469037768,0,0.00744009534540856,0,0
TCGA-OR-A5L6,0.00768464446240344,0,0,0.0762213805504702,0,0,0.223653257634202,0,0,0,0.0624244209947563,0.0570800212253924,0.055110464273114,0,0,0.439331866464139,0,0.0424535109074154,0,0.0360404334881065,0,0
TCGA-OU-A5PI,0.102236039186359,0,0,0.136304601372847,0.0444372618198157,0,0.0747993234113251,0,0,0,0.0639815799095798,0,0.117990364668687,0,0,0.446475572380922,0,0.00244561428825432,0,0,0.0113296429622096,0
TCGA-OR-A5JP,0.104977386801726,0,0.00638673444671815,0.0331220459897041,0,0,0.28385223114625,0,0,0,0.013920771998083,0.0506185082812299,0.0805517495916639,0.174457800747495,0,0.222214398041224,0,0.00986992359720452,0,0.0200284493587015,0,0
TCGA-OR-A5JW,0.0132909733311787,0,0,0.0185138167607151,0.0850625031776608,0,0.174728111293182,0.00136632049777936,0,0,0,0.0699511315108668,0.0725248061296518,0,0.00185997719867611,0.502406291395549,0,0.0258333360382317,0,0.0235064776549068,0.00406763943425051,0.00688861557735147
