,Disease,Gene1,Gene2,IAP,Synergy_score,Gene1_expression,Gene2_expression,wilcox_pvalue,specificity_pvalue,sensitivity_R
2328,brca,KDELR3,LAG3,IFNGscore,0.0114494286729674,Low,High,0.458381526939879,0.972273567467652,2.78618885555655
2329,brca,KDELR3,LCNL1,IFNGscore,0.349118414131197,Low,High,0.0107077714731616,0.2181146025878,0.288355787466733
2330,brca,KDELR3,MAL,IFNGscore,0.381509483690092,Low,High,0.00438776909365145,0.287560581583199,0.261898936244018
2331,brca,KDELR3,MAN2C1,IFNGscore,0.197586740986681,Low,High,0.274281274281274,0.500924214417745,0.605081889658613
2332,brca,KDELR3,MAST3,IFNGscore,0.348575841296667,Low,High,0.24406604747162,0.329581993569132,0.382639849228933
2333,brca,KDELR3,ME2,IFNGscore,0.32160166565833,Low,High,0.432634471155567,0.44839255499154,0.560279134817564
2334,brca,KDELR3,NCR3,IFNGscore,0.105556320087156,Low,High,0.122911144582971,0.770794824399261,0.606114516679651
2335,brca,KDELR3,NPAS1,IFNGscore,-0.577283889518363,High,High,0.0459189545358813,0.0093984962406015,0.41178607768244
2336,brca,KDELR3,NT5E,IFNGscore,-0.222091096385037,High,Low,0.669318912832229,0.469924812030075,0.624600861668269
2337,brca,KDELR3,PANK4,IFNGscore,0.225017413090959,Low,High,0.558344015897705,0.454713493530499,0.669225392836209
2338,brca,KDELR3,PAPSS1,IFNGscore,0.121367003703896,Low,Low,0.152317123026745,0.726432532347505,1.37782515878479
2339,brca,KDELR3,PDCD1,IFNGscore,0.075899229698458,Low,High,0.113855950812473,0.828096118299446,0.776775000342323
2340,brca,KDELR3,PDCD1LG2,IFNGscore,-0.100444409222463,High,Low,0.0484488032536613,0.736842105263158,0.671184247129568
2341,brca,KDELR3,PHYH,IFNGscore,-0.163403228655397,High,High,0.946698254461878,0.597744360902256,0.632787318780786
2342,brca,KDELR3,PLA2G4A,IFNGscore,0.0807727532352281,High,Low,1,0.497757847533632,2.15610937300438
2343,brca,KDELR3,PLCH2,IFNGscore,0.374654967017427,Low,High,0.240343048761767,0.298892988929889,0.383216604009393
2344,brca,KDELR3,PSMD9,IFNGscore,0.378710228735717,Low,High,0.0840258963892271,0.158964879852126,0.434682200046586
2345,brca,KDELR3,PVR,IFNGscore,-0.25950681764731,High,High,0.394618880425018,0.370300751879699,0.595259841360199
2346,brca,KDELR3,RBCK1,IFNGscore,-0.393690685427546,High,Low,0.311900285671459,0.12406015037594,0.463755744923333
2347,brca,KDELR3,RINL,IFNGscore,0.430757440365919,Low,High,0.395451683098486,0.213389121338912,0.29669866301309
2348,brca,KDELR3,ROPN1,IFNGscore,0.314410696225758,Low,Low,0.480743977258319,0.333333333333333,0.31654644349977
2349,brca,KDELR3,ROPN1B,IFNGscore,0.376160524645639,Low,Low,0.127113297464333,0.214022140221402,0.273791113914119
2350,brca,KDELR3,SAMD8,IFNGscore,-0.196929603641388,High,Low,0.37314449962346,0.524436090225564,0.695033755384339
2352,brca,KDELR3,SESTD1,IFNGscore,0.397975433913899,Low,Low,0.0928551747573202,0.195789473684211,0.349117108540705
2353,brca,KDELR3,SIRPA,IFNGscore,-0.253736742592368,High,Low,0.105192505120042,0.383458646616541,0.790880879659358
2354,brca,KDELR3,SLC7A1,IFNGscore,-0.130662580194673,High,High,0.583032680929624,0.661654135338346,1.04570654057002
2355,brca,KDELR3,TLR3,IFNGscore,0.294474330059604,Low,High,0.293836194764987,0.375,0.515675727393418
2356,brca,KDELR3,TNF,IFNGscore,-0.292952102438677,High,Low,0.0666332201552085,0.293233082706767,0.406757175127624
2357,brca,KDELR3,TNFRSF13B,IFNGscore,0.13230337603449,Low,High,0.0445525578652514,0.691312384473198,0.326733144029787
2358,brca,KDELR3,TNFRSF17,IFNGscore,0.143791866986309,Low,High,0.0449019952990878,0.66358595194085,0.475120985808028
2359,brca,KDELR3,TNFRSF18,IFNGscore,0.531609490256207,Low,High,0.0108941188476595,0.172113289760349,0.226053333967243
2361,brca,KDELR3,TNFRSF9,IFNGscore,0.0708940455074838,Low,High,0.141164233531982,0.846580406654344,0.775221777158544
2362,brca,KDELR3,TNFSF18,IFNGscore,0.325749423171967,Low,High,0.219113225292506,0.3,0.438518340941318
2363,brca,KDELR3,TNFSF4,IFNGscore,0.47380141850105,Low,High,0.0259321002355058,0.18558282208589,0.282140721296089
2365,brca,KDELR3,TYK2,IFNGscore,0.376570528566134,Low,High,0.147349277476799,0.158964879852126,0.444078007683156
2366,brca,KDELR3,USP6NL,IFNGscore,0.103630809565175,Low,Low,0.712821214605835,0.77449168207024,1.61959261885022
2367,brca,KDELR3,VAMP2,IFNGscore,-0.248388930672343,High,High,0.765389507479759,0.406015037593985,0.537447976348939
2369,brca,KDELR3,VTCN1,IFNGscore,0.333485901370247,Low,Low,0.569987104697556,0.366990291262136,0.522946458609223
2370,brca,KLRG2,LAG3,IFNGscore,0.094962227247259,Low,High,0.0674922600619195,0.780898876404494,0.50361714776439
2371,brca,KLRG2,NCR3,IFNGscore,0.101505527477379,Low,High,0.330087250211089,0.765917602996255,0.907373333627042
2372,brca,KLRG2,NT5E,IFNGscore,-0.261776181256184,High,Low,0.207617411154846,0.125248508946322,0.490299494344668
2373,brca,KLRG2,PDCD1,IFNGscore,0.0952315274432438,Low,High,0.157430340557276,0.780898876404494,0.475521740166258
2374,brca,KLRG2,PDCD1LG2,IFNGscore,0.030925088339786,Low,High,0.910973084886128,0.910112359550562,1.76547396786138
2375,brca,KLRG2,PVR,IFNGscore,-0.0975659692622728,High,High,0.56793829377769,0.660039761431412,1.15600069264255
2376,brca,KLRG2,SIRPA,IFNGscore,0.381535394408945,Low,High,0.0332414254207228,0.198501872659176,0.348977360593801
2377,brca,KLRG2,SLC7A1,IFNGscore,-0.0327834324641492,High,Low,0.924345438821927,0.89065606361829,2.8831413436944
2378,brca,KLRG2,TLR3,IFNGscore,0.548074553151128,Low,High,0.0652173913043478,0.0658783783783784,0.177037291133789
2380,brca,KLRG2,TNFRSF13B,IFNGscore,-0.112111115472542,High,Low,0.130438142049681,0.600397614314115,1.01796739356156
2381,brca,KLRG2,TNFRSF17,IFNGscore,0.157240653065412,Low,High,0.208043941520856,0.646067415730337,0.383663058382836
2383,brca,KLRG2,TNFRSF4,IFNGscore,0.393293826044695,Low,High,0.101815739100374,0.254838709677419,0.396176797202065
2384,brca,KLRG2,TNFRSF9,IFNGscore,0.0502775229290024,Low,High,0.49364361129067,0.876404494382023,4.350989941527
2385,brca,KLRG2,TNFSF18,IFNGscore,0.324218706967848,Low,High,0.16914458192046,0.310861423220974,0.398719871044066
2386,brca,KLRG2,TNFSF4,IFNGscore,0.434388592134328,Low,High,0.224063122232459,0.276073619631902,0.400269871773549
2387,brca,KLRG2,TNFSF9,IFNGscore,0.358715265360271,Low,High,0.167341430499325,0.247933884297521,0.472136778078504
2388,brca,KLRG2,VTCN1,IFNGscore,0.261092276322679,Low,Low,0.518686421937196,0.495145631067961,0.603434030200152
2390,brca,LAG3,NT5E,IFNGscore,-0.0509194171939352,Low,Low,0.458100376777073,0.67578125,0.40974488785511
2393,brca,LAG3,PVR,IFNGscore,-0.0727694736944615,Low,High,0.0695153582733784,0.695364238410596,0.450620224731925
2394,brca,LAG3,SIRPA,IFNGscore,0.0177275473227186,High,High,0.904385964912281,0.874776386404293,2.07763422145113
2395,brca,LAG3,SLC7A1,IFNGscore,-0.0595425198894741,Low,Low,0.194102878837167,0.593818984547461,0.319944171861729
2396,brca,LAG3,TLR3,IFNGscore,-0.231143277619437,Low,Low,0.00457172430209597,0.0537261698440208,0.280765760484572
2399,brca,LAG3,TNFRSF17,IFNGscore,-0.255093485557323,Low,Low,0.0358344442264209,0.0596546310832025,0.226183816649091
2403,brca,LAG3,TNFSF18,IFNGscore,0.0501387138238527,High,High,0.325180540283515,0.903448275862069,0.75705144846353
2404,brca,LAG3,TNFSF4,IFNGscore,0.0950503387118927,High,High,0.0943267259056733,0.803680981595092,0.309717782286717
2406,brca,LAG3,VTCN1,IFNGscore,0.0748389802528127,High,Low,0.23079088094568,0.854368932038835,0.492109119840921
2408,brca,LCNL1,VSIR,IFNGscore,0.365780253491594,High,High,0.0988519269980823,0.178861788617886,0.323803555896911
2409,brca,LCNL1,CCL4L2,IFNGscore,-0.205004448529412,Low,Low,0.277469219250696,0.287037037037037,0.500210599629879
2410,brca,LCNL1,CD27,IFNGscore,0.228699413081937,High,High,0.229642771085464,0.464968152866242,0.4909965366432
2411,brca,LCNL1,CD274,IFNGscore,-0.0128850020977249,High,Low,0.669316352995436,0.838652482269504,1.26222218538157
2412,brca,LCNL1,CD276,IFNGscore,0.40187495156831,High,Low,0.0134426833744907,0.164536741214058,0.346962023809587
2413,brca,LCNL1,CD28,IFNGscore,-0.0602506546807358,High,Low,0.243812667440511,0.230909090909091,0.488784667528676
2414,brca,LCNL1,CD70,IFNGscore,0.45774691606726,High,High,0.0475164075099833,0.36038961038961,0.271361382178922
2416,brca,LCNL1,CD86,IFNGscore,0.0580911270761788,High,High,0.356493948168375,0.861464968152866,0.453086796319467
2417,brca,LCNL1,CELSR3,IFNGscore,-0.148922038910232,Low,Low,0.395084690533509,0.483024691358025,0.708350542852607
2419,brca,LCNL1,CSF1R,IFNGscore,0.357253222114722,High,High,0.181504904095345,0.238473767885533,0.414355923790187
2420,brca,LCNL1,CSF2,IFNGscore,-0.178699465835271,Low,Low,0.00414362164212784,0.376543209876543,0.374471365274484
2421,brca,LCNL1,CSF3,IFNGscore,0.287375406027167,High,High,0.182101374151454,0.294585987261146,0.276163754307336
2422,brca,LCNL1,CTLA4,IFNGscore,0.0861730735710946,Low,High,0.260198020236233,0.357142857142857,0.537979133828982
2423,brca,LCNL1,NCR3LG1,IFNGscore,0.0634345252410687,High,Low,0.807593611669497,0.853503184713376,2.1650832940008
2424,brca,LCNL1,FAM3C,IFNGscore,0.284509746309129,High,Low,0.315579119517945,0.304140127388535,0.514627688515403
2425,brca,LCNL1,FLT3,IFNGscore,0.334558829985767,High,High,0.20131410809022,0.314545454545455,0.349790238610547
2426,brca,LCNL1,FLT3LG,IFNGscore,-0.120911692877605,Low,Low,0.257439360412235,0.594135802469136,0.474208291164717
2427,brca,LCNL1,GPRC5B,IFNGscore,0.23143608856964,High,Low,0.252906950138872,0.505747126436782,0.386818521398383
2428,brca,LCNL1,HHLA2,IFNGscore,0.368358761411149,High,High,0.0269765820743942,0.162824207492795,0.250501054888843
2429,brca,LCNL1,HLA-DPA1,IFNGscore,0.0381281338339876,High,High,0.312894205794709,0.898089171974522,0.677856874427486
2430,brca,LCNL1,ICOS,IFNGscore,0.007416755591791,Low,High,0.711090545456749,0.933333333333333,3.85761285878566
2431,brca,LCNL1,ICOSLG,IFNGscore,-0.162557655669791,Low,Low,0.475411698587647,0.439814814814815,0.454506402041121
2434,brca,LCNL1,IL34,IFNGscore,0.206007415025568,High,High,0.643148673101608,0.520700636942675,0.515717553193143
2435,brca,LCNL1,KLRG2,IFNGscore,0.322527312846309,High,Low,0.111104323644764,0.320224719101124,0.360947337155393
2436,brca,LCNL1,LAG3,IFNGscore,0.00651594986879744,High,High,0.738461103039406,0.974522292993631,3.29492302123654
2437,brca,LCNL1,MAL,IFNGscore,0.463903639089478,High,High,0.00574644723329166,0.169628432956381,0.167408707178544
2438,brca,LCNL1,MAN2C1,IFNGscore,0.17750829030501,High,High,0.379144598058124,0.570063694267516,0.511226267660108
2439,brca,LCNL1,MAST3,IFNGscore,0.421752238902112,High,High,0.0111217846472594,0.167202572347267,0.228240433178016
2440,brca,LCNL1,ME2,IFNGscore,0.306837221377848,High,High,0.441102005123328,0.458544839255499,0.46337744466518
2441,brca,LCNL1,NCR3,IFNGscore,0.0169507420682256,Low,High,0.487250714003241,0.898989898989899,2.65700928988614
2442,brca,LCNL1,NPAS1,IFNGscore,0.352518365159762,High,Low,0.334528615123165,0.395534290271132,0.357744367228163
2443,brca,LCNL1,NT5E,IFNGscore,-0.241048302936989,Low,Low,0.135875549831451,0.185185185185185,0.445329108757899
2444,brca,LCNL1,PANK4,IFNGscore,0.040959246190294,High,Low,0.883576721437937,0.893312101910828,3.56821335507505
2445,brca,LCNL1,PAPSS1,IFNGscore,-0.283671095436273,Low,High,0.118727263340328,0.095679012345679,0.546021477385794
2446,brca,LCNL1,PDCD1,IFNGscore,0.0103152497822137,High,High,0.809968477998451,0.969745222929936,4.95511354789384
2447,brca,LCNL1,PDCD1LG2,IFNGscore,0.0612996230143683,High,High,0.100211471112838,0.856687898089172,0.40279707107255
2448,brca,LCNL1,PHYH,IFNGscore,0.158475561256949,High,Low,0.569189707118966,0.606687898089172,0.591751414771466
2451,brca,LCNL1,PSMD9,IFNGscore,0.0696763587918321,High,High,0.991157498206812,0.834394904458599,1.51451925799898
2453,brca,LCNL1,RBCK1,IFNGscore,0.378154398631189,High,High,0.125723476894852,0.24914089347079,0.269824509287405
2455,brca,LCNL1,ROPN1,IFNGscore,0.295185205024408,High,Low,0.289605838426015,0.375987361769352,0.446557399116742
2457,brca,LCNL1,SAMD8,IFNGscore,0.310950043446523,High,High,0.179407533378402,0.30550284629981,0.328203917367165
2458,brca,LCNL1,SCAMP5,IFNGscore,-0.138718087156457,Low,Low,0.896727499223211,0.513888888888889,0.723222228761092
2459,brca,LCNL1,SESTD1,IFNGscore,0.199801718354556,High,Low,0.545684603624311,0.530254777070064,0.623746664527334
2460,brca,LCNL1,SIRPA,IFNGscore,0.351284305175115,High,High,0.0591131372755504,0.173524150268336,0.356764448728014
2462,brca,LCNL1,TLR3,IFNGscore,-0.20980039961646,Low,Low,0.0449534402365643,0.262345679012346,0.349381874628941
2463,brca,LCNL1,TNF,IFNGscore,0.414543560607113,High,High,0.00472700691616687,0.224872231686542,0.302486580433182
2464,brca,LCNL1,TNFRSF13B,IFNGscore,0.285762795611112,High,High,0.1940908782856,0.302547770700637,0.358382981961147
2465,brca,LCNL1,TNFRSF17,IFNGscore,-0.0372475412997743,High,Low,0.274447704444347,0.612244897959184,0.739553943369855
2466,brca,LCNL1,TNFRSF18,IFNGscore,0.444812380467234,High,High,0.055949410024715,0.344226579520697,0.223245897037545
2467,brca,LCNL1,TNFRSF4,IFNGscore,0.530465500989324,High,High,0.0174283322941182,0.0596774193548387,0.196256585182703
2468,brca,LCNL1,TNFRSF9,IFNGscore,0.0535686794978663,High,High,0.487879212678989,0.866242038216561,0.733954568056511
2469,brca,LCNL1,TNFSF18,IFNGscore,0.371356579611443,High,High,0.00651373800422441,0.198275862068966,0.207977244874451
2470,brca,LCNL1,TNFSF4,IFNGscore,0.426959225515068,High,High,0.0132626256693018,0.299079754601227,0.330708809934334
2471,brca,LCNL1,TNFSF9,IFNGscore,0.321742147988617,High,High,0.10095142968026,0.309917355371901,0.380266316103448
2473,brca,LCNL1,USP6NL,IFNGscore,0.102503036447108,High,High,0.381285545018076,0.765923566878981,1.37966510752699
2474,brca,LCNL1,VAMP2,IFNGscore,0.262509405856852,High,Low,0.517861098796446,0.367834394904459,0.48532765497829
2475,brca,LCNL1,VPS39,IFNGscore,0.440289250546099,High,High,0.013042119258002,0.137285491419657,0.486254030703878
2476,brca,LCNL1,VTCN1,IFNGscore,0.284774782815555,High,Low,0.212134747022491,0.436893203883495,0.43343154966735
2478,brca,MAL,VSIR,IFNGscore,0.59794572756601,High,High,0.00148643626904496,0.0436187399030695,0.120422134073996
2479,brca,MAL,CCL4L2,IFNGscore,0.389044134839263,High,High,0.0177109440267335,0.274636510500808,0.596191953794662
2481,brca,MAL,CD274,IFNGscore,0.0808517133943742,High,High,0.0526315789473684,0.872374798061389,1.16871785366833
2482,brca,MAL,CD276,IFNGscore,0.360618536669309,High,Low,0.0349230289161639,0.334410339256866,0.331495406837476
2484,brca,MAL,CD70,IFNGscore,0.547070271167908,High,High,0.000253762595200235,0.196428571428571,0.164070379551207
2486,brca,MAL,CD86,IFNGscore,0.114374235394175,High,High,0.00589709568037741,0.806138933764136,1.77949798789782
2487,brca,MAL,CELSR3,IFNGscore,0.0159276961347243,High,High,0.969929348257522,0.975767366720517,6.43115846296432
2488,brca,MAL,CSF1,IFNGscore,0.328873752779384,High,High,0.000684741157029894,0.381260096930533,0.533578047049157
2489,brca,MAL,CSF1R,IFNGscore,0.610350690116605,High,High,0.000902690679649483,0.041335453100159,0.159419602787858
2490,brca,MAL,CSF2,IFNGscore,0.300503100584155,High,High,0.0233804789566728,0.423263327948304,0.682782534455557
2491,brca,MAL,CSF3,IFNGscore,0.312208586737561,High,High,0.25743080882717,0.408723747980614,0.323737756362646
2494,brca,MAL,FAM3C,IFNGscore,0.150163569794823,High,Low,0.507876024903889,0.730210016155089,0.877268595973022
2495,brca,MAL,FLT3,IFNGscore,0.462142160172105,High,High,0.0263884981638148,0.17124394184168,0.329140349346652
2496,brca,MAL,FLT3LG,IFNGscore,0.485399344245443,High,High,0.0146506571239941,0.145395799676898,0.244638705151254
2497,brca,MAL,GPRC5B,IFNGscore,0.390679633888666,High,Low,0.179702650290886,0.27140549273021,0.385666627410187
2498,brca,MAL,HHLA2,IFNGscore,0.502863558661865,High,High,0.00526391020216627,0.12924071082391,0.333660068213979
2499,brca,MAL,HLA-DPA1,IFNGscore,0.151232174916599,High,High,0.00302891616392761,0.72859450726979,1.00679608025463
2501,brca,MAL,ICOSLG,IFNGscore,0.170670913422628,High,High,0.702847805788982,0.691437802907916,0.643360001274186
2502,brca,MAL,IDO1,IFNGscore,-0.157372089214946,Low,Low,0.575851360124201,0.257042253521127,0.49858642371509
2503,brca,MAL,IL13RA2,IFNGscore,-0.14161624998094,Low,Low,0.44665295931989,0.295774647887324,0.591305339283918
2504,brca,MAL,IL34,IFNGscore,-0.132416609957442,Low,High,0.6522101726065,0.316901408450704,0.599147529209886
2505,brca,MAL,KLRG2,IFNGscore,0.357006460590084,High,Low,0.0255954464165529,0.34248788368336,0.2754909807446
2506,brca,MAL,LAG3,IFNGscore,0.0938764107311441,High,High,0.0237259816207185,0.841680129240711,0.258346067185014
2507,brca,MAL,MAN2C1,IFNGscore,-0.324834505973439,Low,Low,0.133472710335223,0.0404929577464789,0.449045801513466
2508,brca,MAL,MAST3,IFNGscore,0.463735550830737,High,High,0.0555241859589686,0.169628432956381,0.219170912115138
2509,brca,MAL,ME2,IFNGscore,0.254195836023418,High,High,0.147678346520624,0.55160744500846,0.620625655140923
2511,brca,MAL,NPAS1,IFNGscore,0.198320873252428,High,Low,0.368400209181423,0.645933014354067,0.9446038780023
2512,brca,MAL,NT5E,IFNGscore,0.335871236201974,High,High,0.437796697626419,0.368336025848142,0.465402827307807
2513,brca,MAL,PANK4,IFNGscore,0.403924542516589,High,High,0.442833179742589,0.253634894991922,0.471050040069105
